,Name,Market Cap (US$ Billion),Market Cap (GBP$ Billion)
0,JPMorgan Chase,390.934,285.0
1,Industrial and Commercial Bank of China,345.214,252.0
2,Bank of America,325.331,237.0
3,Wells Fargo,308.013,225.0
4,China Construction Bank,257.399,188.0
5,HSBC Holdings PLC,219.27,160.0
6,Agricultural Bank of China,203.244,148.0
7,Citigroup Inc.,203.165,148.0
8,Bank of China,181.469,132.0
9,China Merchants Bank,122.616,90.0
10,Royal Bank of Canada,122.564,89.0
11,Banco Santander,115.696,84.0
12,Commonwealth Bank,112.227,82.0
13,Mitsubishi UFJ Financial Group,111.66,82.0
14,Toronto-Dominion Bank,108.449,79.0
15,BNP Paribas,103.258,75.0
16,Goldman Sachs,100.705,74.0
17,Sberbank of Russia,99.84,73.0
18,Morgan Stanley,99.651,73.0
19,U.S. Bancorp,94.558,69.0
20,HDFC Bank,88.435,65.0
21,Itaú Unibanco,86.203,63.0
22,Westpac,84.56,62.0
23,Scotiabank,78.947,58.0
24,ING Group,78.92,58.0
25,UBS,75.482,55.0
26,Charles Schwab,74.255,54.0
27,PNC Financial Services,72.246,53.0
28,Lloyds Banking Group,71.253,52.0
29,Sumitomo Mitsui Financial Group,67.328,49.0
30,Bank of Communications,67.078,49.0
31,Australia and New Zealand Banking Group,66.448,49.0
32,Banco Bradesco,64.816,47.0
33,National Australia Bank,63.794,47.0
34,Intesa Sanpaolo,62.032,45.0
35,Banco Bilbao Vizcaya Argentaria,60.678,44.0
36,Japan Post Bank,60.525,44.0
37,The Bank of New York Mellon,59.823,44.0
38,Shanghai Pudong Development Bank,58.796,43.0
39,Industrial Bank (China),57.388,42.0
40,Bank of China (Hong Kong),55.449,40.0
41,Bank of Montreal,53.181,39.0
42,Crédit Agricole,52.141,38.0
43,DBS Bank,51.475,38.0
44,Nordea,51.185,37.0
45,Capital One,51.107,37.0
46,NatWest Group,50.49,37.0
47,Mizuho Financial Group,50.018,37.0
48,Credit Suisse,48.462,35.0
49,Postal Savings Bank of China,47.948,35.0
50,China Minsheng Bank,47.921,35.0
51,UniCredit,47.777,35.0
52,China CITIC Bank,47.451,35.0
53,Hang Seng Bank,46.171,34.0
54,Société Générale,46.051,34.0
55,Barclays,45.85,33.0
56,Canadian Imperial Bank of Commerce,43.544,32.0
57,Bank Central Asia,43.344,32.0
58,Truist Financial,41.923,31.0
59,Oversea-Chinese Banking Corp,41.362,30.0
60,State Bank of India,40.562,30.0
61,State Street,39.769,29.0
62,Deutsche Bank,38.649,28.0
63,KBC Bank,38.394,28.0
64,Danske Bank,38.223,28.0
65,Ping An Bank,37.993,28.0
66,Standard Chartered,37.319,27.0
67,United Overseas Bank,35.128,26.0
68,QNB Group,33.56,24.0
69,Bank Rakyat,33.081,24.0
70,Banco Bilbao Vizcaya Argentaria,60.678,44.0
71,Japan Post Bank,60.525,44.0
72,The Bank of New York Mellon,59.823,44.0
73,Shanghai Pudong Development Bank,58.796,43.0
74,Industrial Bank (China),57.388,42.0
75,Bank of China (Hong Kong),55.449,40.0
76,Bank of Montreal,53.181,39.0
77,Crédit Agricole,52.141,38.0
78,DBS Bank,51.475,38.0
79,Nordea,51.185,37.0
80,Capital One,51.107,37.0
81,NatWest Group,50.49,37.0
82,Mizuho Financial Group,50.018,37.0
83,Credit Suisse,48.462,35.0
84,Postal Savings Bank of China,47.948,35.0
85,China Minsheng Bank,47.921,35.0
86,UniCredit,47.777,35.0
87,China CITIC Bank,47.451,35.0
88,Hang Seng Bank,46.171,34.0
89,Société Générale,46.051,34.0
90,Barclays,45.85,33.0
91,Canadian Imperial Bank of Commerce,43.544,32.0
92,Bank Central Asia,43.344,32.0
93,Truist Financial,41.923,31.0
94,Oversea-Chinese Banking Corp,41.362,30.0
95,State Bank of India,40.562,30.0
96,State Street,39.769,29.0
97,Deutsche Bank,38.649,28.0
98,KBC Bank,38.394,28.0
99,Danske Bank,38.223,28.0
100,Ping An Bank,37.993,28.0
101,Standard Chartered,37.319,27.0
102,United Overseas Bank,35.128,26.0
103,QNB Group,33.56,24.0
104,Bank Rakyat,33.081,24.0
